Epoch 0: D_Loss=1.1718, G_Loss=2.9096, Disc_Acc=91.85%, Class_Acc=44.48%, Quality=379.9142
Epoch 1: D_Loss=1.1562, G_Loss=1.9373, Disc_Acc=79.45%, Class_Acc=54.30%, Quality=343.9136
Epoch 2: D_Loss=1.1252, G_Loss=2.0840, Disc_Acc=79.44%, Class_Acc=56.43%, Quality=297.7755
Epoch 3: D_Loss=1.0655, G_Loss=2.1996, Disc_Acc=79.57%, Class_Acc=59.84%, Quality=268.8181
Epoch 4: D_Loss=1.0218, G_Loss=2.3359, Disc_Acc=81.17%, Class_Acc=61.63%, Quality=310.0428
Epoch 5: D_Loss=0.9420, G_Loss=2.5347, Disc_Acc=84.30%, Class_Acc=63.57%, Quality=277.6792
Epoch 6: D_Loss=0.8488, G_Loss=2.8247, Disc_Acc=88.72%, Class_Acc=65.38%, Quality=282.2117
Epoch 7: D_Loss=0.7614, G_Loss=3.1619, Disc_Acc=91.03%, Class_Acc=67.16%, Quality=285.1877
Epoch 8: D_Loss=0.7777, G_Loss=3.1206, Disc_Acc=89.52%, Class_Acc=68.03%, Quality=268.4482
Epoch 9: D_Loss=0.7552, G_Loss=3.1592, Disc_Acc=89.38%, Class_Acc=69.45%, Quality=278.0542
Epoch 10: D_Loss=0.7578, G_Loss=3.3520, Disc_Acc=90.22%, Class_Acc=70.34%, Quality=267.1140
Epoch 11: D_Loss=0.6868, G_Loss=3.5429, Disc_Acc=91.58%, Class_Acc=71.68%, Quality=265.2304
Epoch 12: D_Loss=0.6251, G_Loss=3.7167, Disc_Acc=93.62%, Class_Acc=72.97%, Quality=260.8659
Epoch 13: D_Loss=0.6067, G_Loss=3.8694, Disc_Acc=93.95%, Class_Acc=73.86%, Quality=254.7677
Epoch 14: D_Loss=0.5571, G_Loss=3.9557, Disc_Acc=95.65%, Class_Acc=74.91%, Quality=258.4332
Epoch 15: D_Loss=0.5426, G_Loss=4.2181, Disc_Acc=94.88%, Class_Acc=75.62%, Quality=262.6985
Epoch 16: D_Loss=0.4962, G_Loss=4.2499, Disc_Acc=95.62%, Class_Acc=77.31%, Quality=281.4244
Epoch 17: D_Loss=0.4395, G_Loss=4.6314, Disc_Acc=97.26%, Class_Acc=78.74%, Quality=275.2769
Epoch 18: D_Loss=0.4323, G_Loss=4.6413, Disc_Acc=96.87%, Class_Acc=79.57%, Quality=274.6524
Epoch 19: D_Loss=0.3904, G_Loss=4.9358, Disc_Acc=97.39%, Class_Acc=80.91%, Quality=267.1601
Epoch 20: D_Loss=0.3655, G_Loss=4.8893, Disc_Acc=97.70%, Class_Acc=82.11%, Quality=265.7733
Epoch 21: D_Loss=0.3262, G_Loss=5.1211, Disc_Acc=98.18%, Class_Acc=83.19%, Quality=273.0888
Epoch 22: D_Loss=0.3917, G_Loss=5.2024, Disc_Acc=96.39%, Class_Acc=82.12%, Quality=269.9491
Epoch 23: D_Loss=0.3572, G_Loss=4.8329, Disc_Acc=97.20%, Class_Acc=83.49%, Quality=239.6042
Epoch 24: D_Loss=0.3367, G_Loss=4.8681, Disc_Acc=97.27%, Class_Acc=84.53%, Quality=251.5900
Epoch 25: D_Loss=0.3574, G_Loss=5.0597, Disc_Acc=96.65%, Class_Acc=84.71%, Quality=292.4466
