Epoch 0: Discriminator_Loss=0.2986, Generator_Loss=3.7726, Accuracy=96.49%, Quality=472.2073
Epoch 1: Discriminator_Loss=0.7771, Generator_Loss=2.7592, Accuracy=83.66%, Quality=385.0009
Epoch 2: Discriminator_Loss=0.8981, Generator_Loss=2.0444, Accuracy=80.73%, Quality=247.6775
Epoch 3: Discriminator_Loss=0.9549, Generator_Loss=1.7376, Accuracy=78.54%, Quality=259.6443
Epoch 4: Discriminator_Loss=0.9732, Generator_Loss=1.7302, Accuracy=78.18%, Quality=244.0953
Epoch 5: Discriminator_Loss=0.9174, Generator_Loss=1.8597, Accuracy=79.53%, Quality=228.3226
Epoch 6: Discriminator_Loss=0.8096, Generator_Loss=2.1288, Accuracy=83.52%, Quality=225.8683
Epoch 7: Discriminator_Loss=0.7979, Generator_Loss=2.1829, Accuracy=83.66%, Quality=247.0869
Epoch 8: Discriminator_Loss=0.8499, Generator_Loss=2.1339, Accuracy=83.04%, Quality=214.1456
Epoch 9: Discriminator_Loss=0.7854, Generator_Loss=2.2167, Accuracy=83.49%, Quality=219.3818
Epoch 10: Discriminator_Loss=0.6704, Generator_Loss=2.5590, Accuracy=87.78%, Quality=220.7749
Epoch 11: Discriminator_Loss=0.7309, Generator_Loss=2.4315, Accuracy=85.76%, Quality=233.9538
Epoch 12: Discriminator_Loss=0.8945, Generator_Loss=2.0908, Accuracy=80.92%, Quality=208.1277
Epoch 13: Discriminator_Loss=0.7872, Generator_Loss=2.1229, Accuracy=84.77%, Quality=218.9595
Epoch 14: Discriminator_Loss=0.7868, Generator_Loss=2.2533, Accuracy=84.20%, Quality=210.1953
Epoch 15: Discriminator_Loss=0.5857, Generator_Loss=2.7496, Accuracy=89.16%, Quality=230.8026
Epoch 16: Discriminator_Loss=0.7809, Generator_Loss=2.3409, Accuracy=85.16%, Quality=213.8419
Epoch 17: Discriminator_Loss=0.7513, Generator_Loss=2.2722, Accuracy=86.13%, Quality=212.1860
Epoch 18: Discriminator_Loss=0.6679, Generator_Loss=2.5107, Accuracy=87.44%, Quality=212.1521
Epoch 19: Discriminator_Loss=0.6002, Generator_Loss=2.7020, Accuracy=90.03%, Quality=211.9858
Epoch 20: Discriminator_Loss=0.6993, Generator_Loss=2.7106, Accuracy=87.39%, Quality=222.3546
Epoch 21: Discriminator_Loss=0.5739, Generator_Loss=2.8849, Accuracy=89.89%, Quality=218.6675
Epoch 22: Discriminator_Loss=0.6738, Generator_Loss=2.5612, Accuracy=87.49%, Quality=223.6671
Epoch 23: Discriminator_Loss=0.6154, Generator_Loss=2.6593, Accuracy=88.01%, Quality=211.1578
Epoch 24: Discriminator_Loss=0.7122, Generator_Loss=2.4605, Accuracy=86.56%, Quality=214.1066
Epoch 25: Discriminator_Loss=0.5483, Generator_Loss=2.9243, Accuracy=90.33%, Quality=207.1392
Epoch 26: Discriminator_Loss=0.5557, Generator_Loss=2.9759, Accuracy=90.33%, Quality=222.1023
Epoch 27: Discriminator_Loss=0.5216, Generator_Loss=2.9092, Accuracy=91.04%, Quality=214.9408
Epoch 28: Discriminator_Loss=0.5454, Generator_Loss=3.1972, Accuracy=90.31%, Quality=224.9171
Epoch 29: Discriminator_Loss=0.2811, Generator_Loss=4.3122, Accuracy=95.36%, Quality=515.8752
Epoch 30: Discriminator_Loss=0.0053, Generator_Loss=7.6564, Accuracy=100.00%, Quality=440.4363
Epoch 31: Discriminator_Loss=0.1603, Generator_Loss=7.5010, Accuracy=97.97%, Quality=364.8507
Epoch 32: Discriminator_Loss=0.2066, Generator_Loss=5.8145, Accuracy=97.10%, Quality=356.9958
Epoch 33: Discriminator_Loss=0.2406, Generator_Loss=5.5953, Accuracy=96.85%, Quality=273.1594
Epoch 34: Discriminator_Loss=0.1902, Generator_Loss=4.8866, Accuracy=98.04%, Quality=242.3224
Epoch 35: Discriminator_Loss=0.2644, Generator_Loss=4.9302, Accuracy=96.84%, Quality=268.7356
Epoch 36: Discriminator_Loss=0.3703, Generator_Loss=3.7811, Accuracy=94.49%, Quality=238.1270
Epoch 37: Discriminator_Loss=0.5406, Generator_Loss=3.4473, Accuracy=90.76%, Quality=228.6882
Epoch 38: Discriminator_Loss=0.5722, Generator_Loss=3.0341, Accuracy=89.44%, Quality=239.4885
Epoch 39: Discriminator_Loss=0.4914, Generator_Loss=3.1066, Accuracy=92.20%, Quality=214.3962
Epoch 40: Discriminator_Loss=0.4489, Generator_Loss=3.3277, Accuracy=92.57%, Quality=201.6689
Epoch 41: Discriminator_Loss=0.4774, Generator_Loss=3.2943, Accuracy=91.87%, Quality=202.2134
Epoch 42: Discriminator_Loss=0.4147, Generator_Loss=3.2449, Accuracy=93.19%, Quality=220.2868
Epoch 43: Discriminator_Loss=0.5465, Generator_Loss=3.4576, Accuracy=90.22%, Quality=208.0930
Epoch 44: Discriminator_Loss=0.4359, Generator_Loss=3.2808, Accuracy=92.75%, Quality=215.7636
Epoch 45: Discriminator_Loss=0.3354, Generator_Loss=4.3127, Accuracy=95.42%, Quality=209.2611
Epoch 46: Discriminator_Loss=0.4714, Generator_Loss=3.0715, Accuracy=92.80%, Quality=207.6225
Epoch 47: Discriminator_Loss=0.3239, Generator_Loss=3.8966, Accuracy=94.78%, Quality=205.5207
Epoch 48: Discriminator_Loss=0.5919, Generator_Loss=2.9543, Accuracy=89.62%, Quality=215.1267
Epoch 49: Discriminator_Loss=0.5231, Generator_Loss=3.3197, Accuracy=90.71%, Quality=207.7875
