Epoch 0: Discriminator_Loss=-16.1201, Generator_Loss=21.5519, Accuracy=213.76%, Quality=367.7482
Epoch 1: Discriminator_Loss=-10.4152, Generator_Loss=17.6009, Accuracy=183.12%, Quality=329.8815
Epoch 2: Discriminator_Loss=-8.2877, Generator_Loss=17.7822, Accuracy=169.31%, Quality=280.2773
Epoch 3: Discriminator_Loss=-7.2556, Generator_Loss=19.3058, Accuracy=161.30%, Quality=253.4976
Epoch 4: Discriminator_Loss=-6.4941, Generator_Loss=21.7820, Accuracy=157.13%, Quality=243.7827
Epoch 5: Discriminator_Loss=-5.6567, Generator_Loss=22.1649, Accuracy=155.23%, Quality=229.6166
Epoch 6: Discriminator_Loss=-5.2215, Generator_Loss=23.5527, Accuracy=153.56%, Quality=210.8837
Epoch 7: Discriminator_Loss=-4.9402, Generator_Loss=26.3225, Accuracy=152.36%, Quality=227.0749
Epoch 8: Discriminator_Loss=-4.8115, Generator_Loss=27.8791, Accuracy=151.96%, Quality=220.2216
Epoch 9: Discriminator_Loss=-4.7036, Generator_Loss=28.3839, Accuracy=151.82%, Quality=210.7453
Epoch 10: Discriminator_Loss=-4.4577, Generator_Loss=27.8823, Accuracy=151.87%, Quality=201.6275
Epoch 11: Discriminator_Loss=-4.3797, Generator_Loss=29.3642, Accuracy=151.30%, Quality=203.1237
Epoch 12: Discriminator_Loss=-4.3695, Generator_Loss=29.3374, Accuracy=151.22%, Quality=208.5752
Epoch 13: Discriminator_Loss=-4.3681, Generator_Loss=30.3002, Accuracy=151.32%, Quality=209.3827
Epoch 14: Discriminator_Loss=-4.0343, Generator_Loss=26.2322, Accuracy=152.25%, Quality=203.0857
Epoch 15: Discriminator_Loss=-4.2140, Generator_Loss=28.5861, Accuracy=151.67%, Quality=201.8099
Epoch 16: Discriminator_Loss=-4.1631, Generator_Loss=29.6596, Accuracy=151.49%, Quality=187.5205
Epoch 17: Discriminator_Loss=-4.0597, Generator_Loss=30.3977, Accuracy=151.12%, Quality=203.4315
Epoch 18: Discriminator_Loss=-4.0881, Generator_Loss=31.3103, Accuracy=150.99%, Quality=198.9066
Epoch 19: Discriminator_Loss=-4.0726, Generator_Loss=32.2269, Accuracy=150.77%, Quality=209.4158
Epoch 20: Discriminator_Loss=-4.0546, Generator_Loss=34.3249, Accuracy=150.79%, Quality=187.3153
Epoch 21: Discriminator_Loss=-3.9189, Generator_Loss=33.2784, Accuracy=150.68%, Quality=193.4597
Epoch 22: Discriminator_Loss=-3.9539, Generator_Loss=34.6158, Accuracy=150.60%, Quality=197.9877
Epoch 23: Discriminator_Loss=-3.9743, Generator_Loss=37.2682, Accuracy=150.57%, Quality=199.6135
Epoch 24: Discriminator_Loss=-3.9673, Generator_Loss=39.0110, Accuracy=150.52%, Quality=202.1692
Epoch 25: Discriminator_Loss=-3.9932, Generator_Loss=38.7451, Accuracy=150.61%, Quality=191.0684
Epoch 26: Discriminator_Loss=-3.8536, Generator_Loss=38.1210, Accuracy=150.38%, Quality=190.9293
Epoch 27: Discriminator_Loss=-3.8588, Generator_Loss=38.5666, Accuracy=150.37%, Quality=175.7462
Epoch 28: Discriminator_Loss=-3.8928, Generator_Loss=38.7001, Accuracy=150.39%, Quality=193.0812
Epoch 29: Discriminator_Loss=-3.9101, Generator_Loss=40.1729, Accuracy=150.30%, Quality=183.1399
Epoch 30: Discriminator_Loss=-3.8800, Generator_Loss=40.1300, Accuracy=150.37%, Quality=195.6522
Epoch 31: Discriminator_Loss=-3.9195, Generator_Loss=41.4589, Accuracy=150.28%, Quality=190.1113
Epoch 32: Discriminator_Loss=-3.9755, Generator_Loss=40.9576, Accuracy=150.36%, Quality=195.2369
Epoch 33: Discriminator_Loss=-3.8591, Generator_Loss=42.2989, Accuracy=150.32%, Quality=190.4773
Epoch 34: Discriminator_Loss=-3.9005, Generator_Loss=42.6916, Accuracy=150.39%, Quality=185.4365
Epoch 35: Discriminator_Loss=-3.9774, Generator_Loss=44.1314, Accuracy=150.30%, Quality=184.7518
Epoch 36: Discriminator_Loss=-3.9317, Generator_Loss=44.3413, Accuracy=150.28%, Quality=198.1279
Epoch 37: Discriminator_Loss=-3.9247, Generator_Loss=43.1533, Accuracy=150.29%, Quality=192.2000
Epoch 38: Discriminator_Loss=-3.8718, Generator_Loss=45.4017, Accuracy=150.23%, Quality=191.5154
Epoch 39: Discriminator_Loss=-3.9530, Generator_Loss=45.5360, Accuracy=150.20%, Quality=189.3686
Epoch 40: Discriminator_Loss=-4.0919, Generator_Loss=46.6777, Accuracy=150.35%, Quality=194.6211
Epoch 41: Discriminator_Loss=-4.0380, Generator_Loss=47.9051, Accuracy=150.26%, Quality=193.5153
Epoch 42: Discriminator_Loss=-4.0491, Generator_Loss=48.8322, Accuracy=150.18%, Quality=200.1570
Epoch 43: Discriminator_Loss=-4.0708, Generator_Loss=49.5432, Accuracy=150.17%, Quality=194.9822
Epoch 44: Discriminator_Loss=-4.0468, Generator_Loss=48.9105, Accuracy=150.17%, Quality=187.8120
Epoch 45: Discriminator_Loss=-3.9667, Generator_Loss=50.9423, Accuracy=150.14%, Quality=189.9798
Epoch 46: Discriminator_Loss=-4.0558, Generator_Loss=52.5206, Accuracy=150.14%, Quality=192.8793
Epoch 47: Discriminator_Loss=-4.0801, Generator_Loss=53.4301, Accuracy=150.11%, Quality=188.9106
Epoch 48: Discriminator_Loss=-4.0992, Generator_Loss=54.3779, Accuracy=150.06%, Quality=185.6854
Epoch 49: Discriminator_Loss=-4.1066, Generator_Loss=54.6300, Accuracy=150.12%, Quality=189.3365
